years,player_dm,emotional,social,friends,irl
2,3,4,4,3,4
10,4,3,4,5,4
6,1,2,3,3,4
3.5,2,3,4,3,4
6,3,4,3,3,4
1,3,5,5,5,4
1,3,4,4,4,5
3,3,4,4,2,1
1,1,3,4,4,5
1.5,1,4,4,3,4
5,3,3,4,5,5
3,2,4,4,5,4
2,3,2,4,2,4
3,3,3,4,3,4
1,3,3,3,3,3
1,2,3,4,4,3
1,5,3,4,4,3
1,3,3,4,3,4
3,4,3,4,4,4
4,4,3,4,4,4
1,2,3,3,3,3
5,4,4,3,2,4
1,3,2,5,4,3
3.5 ,2,3,4,3,4
1.5,3,4,5,5,5
4,3,3,2,4,4
26,2,5,4,4,5
1,2,3,4,3,4
1.5,2,3,3,4,5
4,5,4,4,3,4
2,3,4,5,5,5
2,3,2,3,3,4
5,2,4,5,4,4
2,4,1,4,4,5
3,3,4,5,5,5
3,4,4,4,3,3
35,1,3,4,2,4
10 ,4,3,4,3,4
6,3,3,4,4,4
2,2,4,5,5,5
2,4,3,4,3,3
25,2,4,5,4,5
3,2,3,4,4,4
3,2,4,4,5,4
2,5,3,4,3,4
8,2,3,4,3,4
2,2,3,4,3,4
7,4,1,1,1,1
4,2,1,4,4,3
3,3,4,4,5,3
4,3,4,5,3,4
6,5,3,4,3,5
1,1,5,5,5,5
1,2,1,1,1,1
30,3,3,5,4,5
6,3,3,4,3,4
3,2,4,3,4,3
2,4,3,3,3,3
13,3,5,5,5,5
5,3,3,3,4,4
6,2,4,4,4,4
20,2,4,4,3,4
2,3,3,3,3,3
9,2,3,4,4,4
3,5,3,4,4,4
1,3,4,3,3,4
5,2,4,4,3,5
20,4,3,4,3,4
3,1,3,4,3,4
2,2,3,4,3,3
35,3,5,4,4,5
1,1,3,3,4,4
5,4,2,4,3,4
1,1,3,3,3,4
3,3,3,4,4,5
 6,3,3,3,3,3
2,3,4,5,4,5
14,4,4,5,4,5
2,1,3,4,4,4
4,3,4,5,5,5
4,3,4,4,4,5
4,4,4,4,4,4
5,5,3,4,3,4
15,3,1,2,2,4
20,4,2,2,2,2
1,3,3,4,4,4
7,3,4,4,2,3
1,3,4,5,4,5
2,3,3,4,4,5
11,4,2,4,4,5
2,3,2,5,4,5
3,2,2,3,3,3
22,3,3,4,4,4
6,4,4,5,5,4
2,4,2,4,3,4
10,4,1,4,2,2
34,4,2,5,5,4
7,3,3,5,4,5
2 ,5,1,3,2,1
1,2,2,2,4,3
1,4,3,4,3,3
23,3,4,5,4,4
3,3,2,3,3,3
2,1,1,3,2,2
3,4,4,4,3,4
4,4,3,3,3,3
1,3,3,4,3,3
1,1,2,4,3,4
1,5,4,4,4,4
2,3,4,5,4,4
13,3,3,4,3,5
3,3,2,4,4,4
5,5,1,4,3,4
2,3,1,2,2,2
15,2,1,3,4,3
3,4,5,5,5,5
5,3,2,4,3,4
