"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/20 12:26:07 PM GMT+2","15","Player & DM","Agree","Strongly agree","Neutral","Agree","As a DM, I’ve learned how to communicate more effectively; I have to think about each person in the group I’m speaking to, judging whether Im engaging them, and whether they actually understood/were listening. Tailoring my communication to bring in one (new/difficult/etc.) player without hurting the story or the other players’ experience was an unexpected new skill. "
"2019/06/20 12:26:21 PM GMT+2","6","Player & DM","Disagree","Neutral","Neutral","Agree",""
"2019/06/20 12:27:07 PM GMT+2","25","Mostly DM","Agree","Strongly agree","Neutral","Agree","How to accept difficult fate and not give up."
"2019/06/20 12:30:24 PM GMT+2","5","Player & DM","Strongly disagree","Disagree","Disagree","Agree","That role-playing games are really fun "
"2019/06/20 12:33:41 PM GMT+2","12","Mostly DM","Agree","Strongly agree","Agree","Agree","creativity"
"2019/06/20 12:36:49 PM GMT+2","1","Mostly DM","Disagree","Strongly agree","Agree","Strongly agree",""
"2019/06/20 12:39:12 PM GMT+2","10","Mostly Player","Neutral","Agree","Neutral","Agree",""
"2019/06/20 12:41:18 PM GMT+2","3","Mostly Player","Agree","Agree","Strongly agree","Strongly agree","A different way to look at issues at hand. Team work. "
"2019/06/20 12:41:39 PM GMT+2","1","Player & DM","Neutral","Neutral","Agree","Neutral","I feel Ive become better at planning, and using my imagination."
"2019/06/20 12:42:34 PM GMT+2","8","Player & DM","Disagree","Neutral","Disagree","Agree","Fun"
"2019/06/20 1:07:23 PM GMT+2","2","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Quick math. "
"2019/06/20 1:11:06 PM GMT+2","30","Player & DM","Disagree","Disagree","Disagree","Agree","The craft of story telling"
"2019/06/20 1:13:01 PM GMT+2","9","Mostly Player","Disagree","Agree","Neutral","Strongly agree",""
"2019/06/20 1:21:44 PM GMT+2","30","Player & DM","Agree","Strongly agree","Strongly agree","Agree","An expanded facility with reading, writing, art, science, and (especially) vocabulary are the most obvious things that D&D taught me. These are by far outweighed by the more useful ability to consider things from another person's point of view. Role-playing, after all, is a continuous exercise in imagining how another person might act and feel in a situation, and it is easy to extrapolate this into an improved empathy for others in day-to-day life. "
"2019/06/20 1:25:46 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 1:25:53 PM GMT+2","15","Mostly DM","Agree","Strongly agree","Neutral","Strongly agree","Skills at managing groups and group discussions"
"2019/06/20 1:32:12 PM GMT+2","30","Mostly Player","Disagree","Neutral","Neutral","Agree","New friends, imagination gain, release from real world"
"2019/06/20 1:32:17 PM GMT+2","2","Player & DM","Disagree","Agree","Strongly disagree","Strongly disagree","Improvisation skills, storytelling skills"
"2019/06/20 1:32:47 PM GMT+2","1","Only Player","Disagree","Agree","Neutral","Agree","Personalities count"
"2019/06/20 1:35:27 PM GMT+2","1","Player & DM","Neutral","Neutral","Disagree","Neutral","Fun, creativity and respect for creators. "
"2019/06/20 1:37:14 PM GMT+2","2","Player & DM","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Nothing. It's a good excuse to see friends every month. "
"2019/06/20 1:39:10 PM GMT+2","6","Player & DM","Disagree","Disagree","Disagree","Neutral","Storytelling"
