"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/20 5:37:41 PM GMT+2","1","Mostly DM","Neutral","Agree","Strongly agree","Neutral",""
"2019/06/20 5:38:30 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Agree","How to improvise"
"2019/06/20 5:39:03 PM GMT+2","11","Mostly DM","Agree","Agree","Agree","Agree","Group social dynamics "
"2019/06/20 5:39:45 PM GMT+2","2","Player & DM","Neutral","Strongly agree","Agree","Strongly agree",""
"2019/06/20 5:46:38 PM GMT+2","12","Mostly DM","Disagree","Agree","Neutral","Agree",""
"2019/06/20 5:47:29 PM GMT+2","10","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","The ability to understand that you as a person are only a piece of a much larger puzzle and that with that understanding comes the ability to make sense and cope with life."
"2019/06/20 5:49:48 PM GMT+2","30","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","How to think strategically"
"2019/06/20 5:50:32 PM GMT+2","6","Player & DM","Strongly disagree","Strongly disagree","Neutral","Strongly disagree",""
"2019/06/20 5:52:20 PM GMT+2","18","Player & DM","Disagree","Neutral","Neutral","Strongly agree","Collective storytelling is incredible for inspiration and the importance of regular, habitual activities with friends you want to keep close"
"2019/06/20 5:58:08 PM GMT+2","4","Only Player","Neutral","Strongly agree","Agree","Agree","Confidence in not just myself in general but confidence in the roles/characters I play."
"2019/06/20 6:01:46 PM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 6:03:30 PM GMT+2","3","Player & DM","Agree","Neutral","Strongly agree","Agree","I've learned about people, about this strange fantastic, and genuinely fun subculture. I've learned that most people, once they get past the initial weird factor, love to play and let their imaginations run wild. I've learned that just because someone isn't like you, doesn't mean you can't be friends. Problem solving, a greater understanding of the importance of diversity, improved mental health, I can link all of that to TTRPGs. And it hasn't even been hard work- it has come naturally in the form of playing a game."
"2019/06/20 6:05:14 PM GMT+2","12","Player & DM","Neutral","Agree","Agree","Agree","Management, Improved Improvisation"
"2019/06/20 6:09:21 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Agree","Agree","Working with a team"
"2019/06/20 6:09:57 PM GMT+2","5","Mostly DM","Agree","Agree","Neutral","Strongly agree","I am a business major. Besides a general sense of happiness and hobby, I apply the skills needed to DM a group and create a world for them in almost all of my classes and works."
"2019/06/20 6:10:41 PM GMT+2","1","Mostly Player","Agree","Agree","Agree","Strongly agree","Say ‘yes’ and even bad things can br a good story"
"2019/06/20 6:12:00 PM GMT+2","9","Mostly DM","Neutral","Strongly agree","Neutral","Strongly agree","Escape is possible."
"2019/06/20 6:15:07 PM GMT+2","5","Mostly DM","Agree","Agree","Neutral","Neutral","Practice in communication is very valuable "
"2019/06/20 6:20:15 PM GMT+2","2","Mostly DM","Neutral","Agree","Agree","Agree","Improvisational skills, leadership skills, lots of dice and minis"
"2019/06/20 6:22:45 PM GMT+2","5","Only Player","Agree","Strongly agree","Neutral","Neutral","I've learned to be anle to not take things so seriously, and how to remain calm even when other people are irritating me."
"2019/06/20 6:23:17 PM GMT+2","5","Mostly Player","Neutral","Neutral","Neutral","Neutral","Creative Outlet"
"2019/06/20 6:26:17 PM GMT+2","3","Player & DM","Disagree","Disagree","Neutral","Disagree",""
"2019/06/20 6:27:26 PM GMT+2","1","Player & DM","Agree","Strongly agree","Agree","Agree","To be more open socially"
"2019/06/20 6:28:16 PM GMT+2","3","Only Player","Strongly agree","Strongly agree","Agree","Agree","A better understanding of myself through branches of people I act out. The same goes for other people. Seeing the characters and the thought processes they go through help you learn things you normally wouldn't."
"2019/06/20 6:29:00 PM GMT+2","7","Player & DM","Agree","Strongly agree","Agree","Strongly agree","I have gained a new group of friends and a respect for ideas and ways of thinking that I don’t personally follow."
"2019/06/20 6:38:52 PM GMT+2","3","Only Player","Disagree","Disagree","Disagree","Agree",""
"2019/06/20 6:46:04 PM GMT+2","4","Mostly DM","Strongly agree","Strongly agree","Disagree","Agree","I have learned to become a better speaker/orator in all forms, especially with regards to choosing the words that I use when I speak with others (that is, I use much more precise wording, especially when describing past events and my own thoughts and feelings). I have also become better at adapting to unexpected social situations effectively, including when I am asked difficult or unexpected questions or when a tense social situation needs to be diffused (e.g., being able to reduce tension when the potential for quarreling between people occurs)."
"2019/06/20 6:57:27 PM GMT+2","2","Player & DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 7:00:05 PM GMT+2","2","Only DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Tabletop games have given me everything! It's all of my hobbies mashed together. If I get bored of writing a new story for my players, I can work on painting miniatures or building scenery for the table. If I get bored of that I can create new NPCs for the campaign. It's given me such a huge creative outlet that I wouldn't have anywhere else. "
"2019/06/20 7:01:03 PM GMT+2","2","Mostly DM","Neutral","Agree","Agree","Strongly agree","Storytelling"
"2019/06/20 7:04:12 PM GMT+2","3","Mostly Player","Strongly disagree","Strongly agree","Neutral","Agree","What makes a good story"
"2019/06/20 7:05:46 PM GMT+2","1","Mostly Player","Neutral","Agree","Agree","Agree","As a director/animator, it helps me excersice my understanding of character dynamics in a fun and compelling way. It allows me to develope characters, loveable and hated, and gives me the opportunity to look at the outside perspective of what others may find a compelling character to be. Also, as an introvert, it really helps to get me out of my comfort zone and project myself more, be that astounding others with fantastic ideas or knocking em dead when I make a fool of myself. I have confidence in myself and can feel comfortable in either case."
"2019/06/20 7:09:51 PM GMT+2","35","Mostly DM","Disagree","Agree","Neutral","Agree",""
"2019/06/20 7:13:05 PM GMT+2","40","Mostly Player","Strongly disagree","Disagree","Disagree","Strongly disagree","Games (and hanging out with friends) are an escape from life's stresses.  A good way to unwind. "
"2019/06/20 7:14:23 PM GMT+2","12","Only Player","Neutral","Agree","Agree","Disagree","How to put myself in someone else's mindset. How to be more present. "
"2019/06/20 7:27:47 PM GMT+2","1","Only Player","Neutral","Agree","Agree","Neutral",""
"2019/06/20 7:47:21 PM GMT+2","3","Mostly Player","Disagree","Neutral","Disagree","Neutral",""
"2019/06/20 7:48:42 PM GMT+2","2","Player & DM","Neutral","Agree","Agree","Strongly agree",""
"2019/06/20 7:57:09 PM GMT+2","3","Mostly Player","Disagree","Disagree","Disagree","Disagree",""
"2019/06/20 8:03:47 PM GMT+2","10","Mostly DM","Agree","Strongly agree","Neutral","Strongly agree","Being primarily a DM, D&D has helped me with my creativity, my writing ability, my improvisational ability, as well as my ability to communicate with my friends and players about issues they are having."
"2019/06/20 8:08:07 PM GMT+2","1","Only Player","Neutral","Agree","Neutral","Neutral",""
"2019/06/20 8:16:37 PM GMT+2","15","Mostly Player","Neutral","Strongly agree","Strongly agree","Strongly agree","I've learned to do math quicker in my head - I have dyscalculia and so mental math requires significant effort for even single digit addition. Having to add dice together all the time has improved my ability to do so fairly significantly, to the point where other people are capable of noticing it. I still get it wrong or run across numbers I just can't add together or divide (resistance/saves), but overall its improved considerably."
"2019/06/20 9:09:31 PM GMT+2","5","Mostly DM","Neutral","Agree","Agree","Agree","Improvisation, public speaking, and organization skills"
"2019/06/20 9:17:40 PM GMT+2","25","Player & DM","Strongly disagree","Agree","Neutral","Strongly agree","Its a great platform to act upon those urges that are stigmatized by society (ie: whats it like to kill someone, be a different gender, act like an asshole or perform without judgement). Better than any substance ive used at helping me escape my problems. Also, as a writer, i love DMing. Great way to create lasting tales you and your friends can refer to again and again year after year."
"2019/06/20 9:29:59 PM GMT+2","3","Mostly Player","Agree","Neutral","Neutral","Agree","I have had trouble with sportsmanship in games before, my GM and party have helped me be better about this"
"2019/06/20 9:52:43 PM GMT+2","1","Mostly DM","Disagree","Strongly agree","Agree","Agree","Confidence, storytelling, and teamwork"
"2019/06/20 9:53:18 PM GMT+2","3","Mostly Player","Agree","Agree","Agree","Agree",""
"2019/06/20 10:24:59 PM GMT+2","7","Mostly DM","Agree","Strongly agree","Strongly agree","Agree","The biggest thing I've gained is confidence and the ability to improvise. I'm mostly a DM, so I have to be prepared to stand up for myself and my decisions if a player wants to go against established rules or lore. I also have to be ready to improvise at a moment's notice, because players like to break things."
"2019/06/20 10:38:52 PM GMT+2","2","Mostly DM","Neutral","Neutral","Disagree","Neutral","How to occupy time in an enjoyable way"
"2019/06/20 11:27:05 PM GMT+2","1","Mostly Player","Disagree","Neutral","Neutral","Neutral","That I'm actually transracial and am scheduled to have a negroplasty this October!"
"2019/06/21 12:08:25 AM GMT+2","2","Mostly DM","Neutral","Neutral","Agree","Neutral","Improvisation "
"2019/06/21 12:10:08 AM GMT+2","9","Player & DM","Agree","Strongly agree","Agree","Agree",""
"2019/06/21 2:14:09 AM GMT+2","3","Player & DM","Agree","Agree","Neutral","Agree","I can analyze myself in situations that I would rather not be in personally to learn about myself. It is also a good way to hang on to friends. "
"2019/06/21 2:19:41 AM GMT+2","5","Only Player","Strongly agree","Strongly agree","Agree","Strongly agree","An empathy that can only come from actively putting yourself in the shoes of others and an appreciation for the world's systems thanks to the carefully crafted settings my DMs have presented me."
